id,created_at,text
1206328159336980480x,2019-12-15 21:40:20,b'@KeithHopkin I can see in total darkness and have zoom.'
1206068838543982593x,2019-12-15 04:29:53,b'@ofbren @eggstead i hope theyre not replicas'
1206068746722242560x,2019-12-15 04:29:31,b'@nyc_ryanb nice one'
1206059949177966592x,2019-12-15 03:54:34,b'great tie \xf0\x9f\xa6\x92 https://t.co/xT6Ol13cX6'
1205996644874907648x,2019-12-14 23:43:01,b'GET IT Jack \xf0\x9f\x91\x8a https://t.co/9UHOy1hNp5'
1205966565922889729x,2019-12-14 21:43:29,"b'My hero, the Kombucha Girl herself,   @Brittany_broski https://t.co/WQjvArjnJ2'"
1205944990074994688x,2019-12-14 20:17:45,b'the gentleman in the purple hat represents the feelings of all New Yorkers during SantaCon. https://t.co/dyPyPcQuX1'
1205944210769076224x,2019-12-14 20:14:39,b'this is so satisfying https://t.co/7Mvi79J93U'
1205944068275990528x,2019-12-14 20:14:05,b'told you so -- https://t.co/4Bau0wNCQT https://t.co/SnhCF8hxXw'
1205911224120033282x,2019-12-14 18:03:35,b'@derraleves I missed you!'
1205904538881781760x,2019-12-14 17:37:01,"b'\xe2\x80\x98Damn, he looks good in that onesie\xe2\x80\x99 https://t.co/tXbXarVY8H'"
1205904232148131842x,2019-12-14 17:35:48,b'thanks for the onesie @GoPro. Franny was jealous https://t.co/HtcGKfYXQ1'
1205724392233164800x,2019-12-14 05:41:11,b'RT @streamys: presenting the #streamys Creator of the Year award is none other than @Casey! \xf0\x9f\x98\x8e https://t.co/wNR0fMfnDH'
1205679475561615361x,2019-12-14 02:42:42,b'\xf0\x9f\x98\x8e https://t.co/arWWDuft01'
1205541953728733184x,2019-12-13 17:36:14,"b'apparently, Ramsy is spelled Ramsay.  also apparent; i am an idiot sandwich after all'"
1205523473914720257x,2019-12-13 16:22:48,b'https://t.co/DVmwDLeCJi'
1205523353240342528x,2019-12-13 16:22:19,b'major Gordon Ramsy vibes while making the kids lunch.  Look at these perfectly sliced strawberries.  The tinfoil wr\xe2\x80\xa6 https://t.co/SFuVf9eaEN'
1205511393534857216x,2019-12-13 15:34:48,b'why do they call it that? - https://t.co/w4ReVttaEC'
1205505996170248192x,2019-12-13 15:13:21,"b""@MatthewACherry we've never met Matthew but this made me emotional.  congrats on making it happen"""
1205502615183749121x,2019-12-13 14:59:55,b'@SASOstayinFLY @Ryan_Sickles @TonyBotzZz @__mynameiscam I appreciate all of this thread.  i am going to forward to\xe2\x80\xa6 https://t.co/AHJv5X8P5n'
1205502270005104640x,2019-12-13 14:58:32,"b'@csouza12 @candicepool $195, which is expensive.  an uber during rush hour is $120, also expensive.  the airtrain i\xe2\x80\xa6 https://t.co/VKyqy03VHW'"
