id,created_at,text
1200581825132937218x,2019-11-30 01:06:27,b'ever get the felling you\xe2\x80\x99re being \xf0\x9f\x91\x80 https://t.co/KTPcLBTLGb'
1200208410886541312x,2019-11-29 00:22:38,b'cousins \xe2\x9d\xa4\xef\xb8\x8f https://t.co/mOtBF9yR1A'
1200158099165704192x,2019-11-28 21:02:43,b'my daughter made these. https://t.co/qeohja4uTn'
1200149080829128704x,2019-11-28 20:26:53,b'@NBTJacklyn thanks Jacklyn!!!'
1200115211769794560x,2019-11-28 18:12:18,b'Omg.  This is just what I imagine when thinking TSA + Tiktok https://t.co/6PaK0800U4'
1200106136344518656x,2019-11-28 17:36:14,b'Hey Happy thanksgiving and all.  I did this trick at the trampoline place last night.  Can you reply with comments\xe2\x80\xa6 https://t.co/oBnu4Bzouo'
1200086076775206913x,2019-11-28 16:16:31,b'yeah sorry this video will never be on YouTube.  family viewing only.'
1200085373168177152x,2019-11-28 16:13:44,b'I made @candicepool a video about our daughters first couple of years.  the girls watch it on repeat. https://t.co/ukZtB1HVAS'
1199882906581102592x,2019-11-28 02:49:12,b'@ohRemi_ you know it'
1199560971393437696x,2019-11-27 05:29:57,b'yeah https://t.co/jDeWCEya7Y'
1199552747697139712x,2019-11-27 04:57:16,b'thank you Mr Herzog https://t.co/rJL4HLtaTA'
1199449131573379073x,2019-11-26 22:05:32,b'\xf0\x9f\x9a\xb2 \xf0\x9f\x92\xa8 https://t.co/C0ajhQfHrh'
1199436227390296064x,2019-11-26 21:14:15,b'@motdraw1 Let\xe2\x80\x99s do it'
1199394256663629824x,2019-11-26 18:27:29,b'I o u for this one @KIDZBOP !!!! https://t.co/xyVY0fgfvb'
1199356383742705665x,2019-11-26 15:56:59,"b'Gentlemen, please take a moment and follow some advice from my friend Pete, a cancer survivor and all-around good g\xe2\x80\xa6 https://t.co/5wZxnnEp2M'"
1199104489594085377x,2019-11-25 23:16:03,b'@rilaws GEMS is amazing.  A huge step forward for josh and benny'
1199095677101281280x,2019-11-25 22:41:02,"b""RT @JonErlichman: Tesla's annual revenue:\n\n2021 $34.1 billion*\n2020 $29.1 billion*\n2019 $24.3 billion*\n2018 $21.5 billion\n2017 $11.8 billio\xe2\x80\xa6"""
1199094870117191680x,2019-11-25 22:37:49,b'@rilaws Oh. that hurts tho'
1199085293640400896x,2019-11-25 21:59:46,b'Looks amazing.  Congrats @MKBHD https://t.co/qbrhdAJLBm'
1198899060385701888x,2019-11-25 09:39:45,b'@rilaws Why didn\xe2\x80\x99t you\xe2\x80\x99d ever think you\xe2\x80\x99d say that?'
1198889804588605440x,2019-11-25 09:02:58,b'on the \xe2\x9c\x88\xef\xb8\x8f.  Thanks @lufthansa for sorting me out. https://t.co/POobV2PRaZ'
1198886236863287297x,2019-11-25 08:48:47,b'In Germany now. Look at this McDonald\xe2\x80\x99s menu!!! WHATS A PIMP BURGER?!? https://t.co/Qd9PNhrtoT'
1198855095229792256x,2019-11-25 06:45:03,"b'RT @lizzo: 8 years of touring, giving out free tix to my undersold shows, sleepless nights in my car, losing my dad &amp; giving up on music, p\xe2\x80\xa6'"
1198846822170660864x,2019-11-25 06:12:10,b'I miss NYC https://t.co/pHQil3zzMy'
1198842511952924672x,2019-11-25 05:55:02,"b'so @lufthansa fkd up my ticket and made it my problem but the guy on the phone, david, was a fan and super nice - h\xe2\x80\xa6 https://t.co/YaLifJji7w'"
1198837973116162048x,2019-11-25 05:37:00,b'floor cleaning robot vs rolling suitcase https://t.co/H71wHK7daI'
1198837410131533824x,2019-11-25 05:34:46,b'everything is cool.   I\xe2\x80\x99m in Prague https://t.co/6scuQvjQTx'
1198836305976795137x,2019-11-25 05:30:23,b'@tony_ganzer @CNNMoneyCH I look super high.  Do I always look high?  I was not high'
1198812040158228486x,2019-11-25 03:53:57,"b'lights off, heats on, all good https://t.co/VqF3Qu8dGI'"
1198810145364545536x,2019-11-25 03:46:26,b'v cold in here https://t.co/GUaLYykvF7'
1198809521495445504x,2019-11-25 03:43:57,b'about to fly on this thing.  wish me luck https://t.co/qeirQRmNvB'
1198806959039877122x,2019-11-25 03:33:46,b'@the_wing Hero'
1198806936617136130x,2019-11-25 03:33:41,"b'\xe2\x80\x9cI took that table and I went to working on him,\xe2\x80\x9d Murphy said. \xe2\x80\x9cThe table broke.\xe2\x80\x9d \n\nFemale bodybuilder, 82, bashes\xe2\x80\xa6 https://t.co/Am4ZHYQEZF'"
1198702280402493441x,2019-11-24 20:37:49,b'@AntonDee_ @elonmusk yup'
1198697130841395200x,2019-11-24 20:17:21,b'@MKBHD cool cool.. but they shoulda just given you a microphone and let you talk CYBERTRUCK for 15 minutes.'
1198690886177021952x,2019-11-24 19:52:32,b'@ArlanWasHere excellent'
1198610747174948864x,2019-11-24 14:34:05,"b'RT @GoPro: +45mph, +65ft. \xf0\x9f\x8c\x8a\n\nThe biggest wave of @justinedupont33 life is now in contention of being the biggest wave ever ridden by a woma\xe2\x80\xa6'"
1198418027617882113x,2019-11-24 01:48:17,b'\xf0\x9f\x92\xa1 @AndrewYang https://t.co/MUwDBxjicE'
1198387493219000323x,2019-11-23 23:46:58,b'@JohnnyIXI great movie'
1198386646393217024x,2019-11-23 23:43:36,b'@KEEMSTAR @tedstein @Tesla Me neither but if you figure out how to get that TESLA bread lmk keem'
1198386437755981826x,2019-11-23 23:42:46,b'@cambodonut2 This is awesome \xf0\x9f\x91\x8f'
1198386339642822657x,2019-11-23 23:42:22,b'@JenesisofLife You weren\xe2\x80\x99t alone!'
1198385325661442048x,2019-11-23 23:38:21,"b'@briflys Hey Brian with regrets I\xe2\x80\x99m traveling, not back in the USA til late Monday'"
1198381691007590400x,2019-11-23 23:23:54,b'@PicksMo that shit was delicious. still can\xe2\x80\x99t get over my parents thinking it was a better option than soda.'
1198381504461787136x,2019-11-23 23:23:10,b'@mrtwills \xf0\x9f\x98\x82'
1198381355379429377x,2019-11-23 23:22:34,b'@cambodonut2 *Steel ball \xf0\x9f\x98\x89'
1198380210976174080x,2019-11-23 23:18:01,b'RT @humblethepoet: Y\xe2\x80\x99all complain too much'
1198380197986349056x,2019-11-23 23:17:58,b'@matthijs_soest https://t.co/5UcXDG2i6S'
1198378265498533889x,2019-11-23 23:10:17,b'nO ONe iS GoNnA BUy thAt StUPid thINg \xc2\xa1 https://t.co/m4ItXZr9qA'
1198377218226999296x,2019-11-23 23:06:08,b'@tedstein @AshleyyyClarkee you\xe2\x80\x99re making a lot of assumptions.   I\xe2\x80\x99ve never been paid by TESLA and neither have any\xe2\x80\xa6 https://t.co/Tr7pHQc6ls'
1198319833911353350x,2019-11-23 19:18:06,b'@tedstein Is tesla paying me money?'
1198316409257910273x,2019-11-23 19:04:30,b'@inursha @lazygetter well I know little of that.  but seems like your targeting of fans of the products the company\xe2\x80\xa6 https://t.co/gNKM5KwU7x'
1198313944345133056x,2019-11-23 18:54:42,b'@inursha @lazygetter same reason I go to a movie premiere at midnight on a thursday or waited outside the mall for\xe2\x80\xa6 https://t.co/uJmTh9Afm3'
1198313278461661188x,2019-11-23 18:52:03,b'@lazygetter @inursha **for the record I  own 0 TSLA stock.'
1198313137184919552x,2019-11-23 18:51:30,b'@lazygetter @inursha most of my tesla owning friends say the same.  so what gives?  what fuels your contempt?  aski\xe2\x80\xa6 https://t.co/Gl6P0hb4Qy'
1198312664033832960x,2019-11-23 18:49:37,"b'@lazygetter @inursha tesla haters are so quick to shit on superfans, assuming all fans are brainwashed jonestown ty\xe2\x80\xa6 https://t.co/1Ch8P2CDEs'"
1198312038923145219x,2019-11-23 18:47:08,b'@lazygetter @inursha do you work for exxonmobile?  or opec?  or the saudis?  or did tesla/em do something personally to hurt you?'
1198298738198024194x,2019-11-23 17:54:17,b'this is special.  makes me want to be the best version of me I can possibly be.  be sure to watch it all the way th\xe2\x80\xa6 https://t.co/fzjGO08Ifo'
1198269245139894274x,2019-11-23 15:57:05,"b'Every Youtuber I follow has put $ down for a @Tesla CyberTruck.  I have no need for another car, no need at all for\xe2\x80\xa6 https://t.co/yRvJ7Me3Oc'"
1197901034057633792x,2019-11-22 15:33:57,b'@Les3Rois_Basel Thanks for having me!  Wonderful hotel'
1197793946463866880x,2019-11-22 08:28:25,"b'@tanamongeau Tana Saturday, Switzerland Sunday'"
1197783360480980992x,2019-11-22 07:46:21,b'\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f never forget the OG Truckla  made by the brilliant @SimoneGiertz https://t.co/IfXpj0CD2I'
1197781561770487808x,2019-11-22 07:39:12,b'so long Switzerland. It\xe2\x80\x99s been great https://t.co/cMvxUJGyWs'
1197764352989892609x,2019-11-22 06:30:49,b'@carlyincontro That cuts deep Carly'
1197764046772154369x,2019-11-22 06:29:36,b'RT @sokane1: And it\xe2\x80\x99s back! https://t.co/KSqSUsnDp3'
1197763391051448320x,2019-11-22 06:27:00,b'RT @whatsinside: In launch mode... #CYBRTRK https://t.co/Ft3URrLPDE'
1197741707976151041x,2019-11-22 05:00:50,b'cybertruck'
1197741469936820225x,2019-11-22 04:59:54,b'@natalinanoel finish watching Taxi Driver!  and dont fall asleep this time https://t.co/PhltFST9II'
1197708056504786944x,2019-11-22 02:47:07,b'@casiestewart @stilez Is your movement limited?  do you have pains?'
1197701698774548480x,2019-11-22 02:21:51,b'RT @Tesla: Cybertruck Unveil livestream starts at 8pm \nhttps://t.co/BhTBgNqeWQ https://t.co/qzKnsIkkms'
1197699038554083335x,2019-11-22 02:11:17,b'@casiestewart @stilez oh no.  why didnt it heal right??'
1197693342764716032x,2019-11-22 01:48:39,b'@johnwashere213 a woman named Linda! -- https://t.co/eSzkJWBZJ2'
1197658090373632000x,2019-11-21 23:28:34,b'she\xe2\x80\x99s such a great mom \xe2\x9d\xa4\xef\xb8\x8f https://t.co/WOl60QFQY3'
1197649548115664897x,2019-11-21 22:54:38,b'@mcwm nice'
1197648772752379904x,2019-11-21 22:51:33,b'So bummed I\xe2\x80\x99m missing this https://t.co/i6BSr9U2II'
1197544856677232640x,2019-11-21 15:58:37,b'@comedy_engineer @basedpapa you know me so well'
1197541898082308096x,2019-11-21 15:46:52,b'omg https://t.co/GFMXo8C60k'
1197539432649437186x,2019-11-21 15:37:04,b'Switzerland https://t.co/dShrOkERil'
1197373113111060480x,2019-11-21 04:36:10,b'@candicepool we do agree on some things'
1197370975035150337x,2019-11-21 04:27:41,b'@RachelT1741 best yet!! https://t.co/mmANtRGUnl'
1197348503103520768x,2019-11-21 02:58:23,b'@piamuehlenbeck what about couples that argue in real-time on twitter?'
1197306784697978880x,2019-11-21 00:12:37,b'\xe2\x9c\x8c\xef\xb8\x8f https://t.co/KcckRsGJxD'
1197213281888301056x,2019-11-20 18:01:04,b'@mangionephoto socks! people should wear socks'
1196964466102898689x,2019-11-20 01:32:21,b'@JackCampbell420 Or it\xe2\x80\x99s just gross'
1196961798949203968x,2019-11-20 01:21:46,b'@yashar Omg'
1196961797007233024x,2019-11-20 01:21:45,b'this is an 11 hour flight.   \n- https://t.co/tPtOQ6Gv8v https://t.co/sL5qqxZnda'
1196916973533220865x,2019-11-19 22:23:38,b'@DailyRender Omg perfect'
1196902075671539712x,2019-11-19 21:24:26,b'@CaseyNewton appreciate you Casey'
1196900857117204480x,2019-11-19 21:19:36,"b""It's November 19th and i've sent 3 emails today that include; 'let's circle back after the new year'"""
1196899011287871488x,2019-11-19 21:12:16,b'@WiLLoDavisRocks lol'
1196898780647321600x,2019-11-19 21:11:21,b'@nevinwebster this is dope'
1196896228337831936x,2019-11-19 21:01:12,"b'Photoshop request; my custom sunglasses are not a default memoji option, can someone turn these glasses into my sun\xe2\x80\xa6 https://t.co/kqUQgOPG5R'"
1196882759383277568x,2019-11-19 20:07:41,b'RT @QuincyDJones: We got the horses in the back \xf0\x9f\x8e\xb6...@LilNasX https://t.co/67TehaQ8Gg'
1196878947327205376x,2019-11-19 19:52:32,b'@tanamongeau @DonceanStefan @shreydan @candicepool STANdice NeiSTAN'
1196875981727784960x,2019-11-19 19:40:45,b'thinking of making my Twitter a Candice stan account.'
1196874503319502848x,2019-11-19 19:34:53,b'in between J\xc3\xa4ger-bombs Tana suggested that Candice refer to her fans as STANdices. https://t.co/q3tp6PuvxO'
1196857911483367425x,2019-11-19 18:28:57,b'@andymilonakis Truth'
1196669683920850944x,2019-11-19 06:01:00,b'find someone who looks at you the way she looks at this sundae https://t.co/VVVhv8bYsu'
1196658593094782976x,2019-11-19 05:16:56,b'this is getting out of control. https://t.co/7UYaqIs5uq'
1196654388254666753x,2019-11-19 05:00:13,"b'Roi and I wore the same shirt and the same necklace to dinner. Candice, despite designing the necklace and giving i\xe2\x80\xa6 https://t.co/s4pcyMJ4Uc'"
1196537841771089925x,2019-11-18 21:17:06,b'@carlyincontro story of my life'
1196537789220675585x,2019-11-18 21:16:54,b'@whatsinside My Tesla has one of those too.  It\xe2\x80\x99s on the steering wheel under my left thumb'
1196525332209094656x,2019-11-18 20:27:24,b'#KIDZBOPDad https://t.co/VzTie33f3j'
1196523179776233472x,2019-11-18 20:18:51,"b""@MariahOnorati It highlights just how big Tesla's 15 year headstart is on the rest of the industry"""
1196521132746108928x,2019-11-18 20:10:42,b'@candicepool https://t.co/eG9DWd3LGd'
1196516572686209024x,2019-11-18 19:52:35,b'\xf0\x9f\x9a\xa8NYC\xf0\x9f\x9a\xa8 https://t.co/fudPOc73qP'
1196493068385607681x,2019-11-18 18:19:11,b'damn.. Georgie woulda crushed it. https://t.co/gYICAlI5fQ'
1196490767868387330x,2019-11-18 18:10:03,b'Happiest of Birthdays to this handsome man (the one on the right)  \xf0\x9f\x8e\x88@zane \xf0\x9f\x8e\x88 https://t.co/oDfa53950z'
1196485671050809344x,2019-11-18 17:49:48,b'@candicepool https://t.co/YRNVdyOQCr'
1196484259659145216x,2019-11-18 17:44:11,b'RT @MikePosner: New \xf0\x9f\x94\xa5 - Live Before I Die - (full music video out now) - this is a little snippet from the music video. This song and video\xe2\x80\xa6'
1196480384717901824x,2019-11-18 17:28:47,b'@Sami_1993 22 year old Toyota \xf0\x9f\x98\x89'
1196479331016462339x,2019-11-18 17:24:36,b'@dalwolf @holmesersimpson 97'
1196473263238500352x,2019-11-18 17:00:30,b'respect the drip Candice https://t.co/JewhGGQXoP'
1196472605487747073x,2019-11-18 16:57:53,b'@holmesersimpson It\xe2\x80\x99s a Toyota'
1196471951742554118x,2019-11-18 16:55:17,b'got the new KIDZ Bop.. today\xe2\x80\x99s gonna be a great day https://t.co/rABUqkpZPn'
1196231276379791360x,2019-11-18 00:58:55,b'that\xe2\x80\x99s my new sweatshirt. https://t.co/Vh15SvgTfV'
1196228064763621377x,2019-11-18 00:46:10,"b'this is fake.  technical reasons aside, if a company like Scania were to do a publicity stunt of this scale they wo\xe2\x80\xa6 https://t.co/Y3hoLCClEi'"
1196194987874013189x,2019-11-17 22:34:43,b'@mcwm https://t.co/P4RmRfNW5P'
1196156238603542528x,2019-11-17 20:00:45,b'@DougDeMuro Appreciate you Doug'
1196130396036927489x,2019-11-17 18:18:04,b'no cup holders but ashtrays for days \xf0\x9f\x9a\xac https://t.co/1P3w8wPD4F'
1196129945761640449x,2019-11-17 18:16:16,b'sliding windows in the way back https://t.co/me0XvSDHSQ'
1196127370438172673x,2019-11-17 18:06:02,b'folding \xf0\x9f\x92\xba https://t.co/lyrRIfGJ4o'
1196126764851818496x,2019-11-17 18:03:38,b'Candice got a 1997 Toyota Land Cruiser.  the kids and i love it. https://t.co/5NTpCaMYah'
1196101043416907776x,2019-11-17 16:21:25,b'@mcwm @trekonomics @saba_h every day mike! https://t.co/VTRS6N6JRL'
1195889762827063296x,2019-11-17 02:21:52,b'@mcwm @giannaporcaro @Jessewelle Also.  Sweet burrito \xf0\x9f\x8c\xaf'
1195889690177441793x,2019-11-17 02:21:35,b'@mcwm @giannaporcaro @Jessewelle I think that\xe2\x80\x99s my bike https://t.co/w6fIvTZ9DI'
1195885431801315328x,2019-11-17 02:04:40,b'@mcwm @giannaporcaro @Jessewelle You shoulda said hi!!!'
1195824454598721538x,2019-11-16 22:02:21,b'@ArlanWasHere https://t.co/EKwRnfm4vi'
1195823412867784704x,2019-11-16 21:58:13,b'\xe2\x80\x98lemmegetta\xe2\x80\x99 should be a word'
1195813877373530112x,2019-11-16 21:20:20,b'last one https://t.co/A2T1csFoBg'
1195809095032328192x,2019-11-16 21:01:19,b'update https://t.co/DUIf8kJBvC'
1195808650394132481x,2019-11-16 20:59:33,b'back seat. https://t.co/WHXJyk7YWk'
1195808310512869376x,2019-11-16 20:58:12,"b'be cool, act normal.  no way they know what\xe2\x80\x99s going on in the back seat. https://t.co/p7AV5EThAc'"
1195803494524940288x,2019-11-16 20:39:04,b'that glow up \xf0\x9f\x92\xab https://t.co/1Hfmdk2Drx'
1195754963034464256x,2019-11-16 17:26:13,b'@MKBHD Remember me bitching about the terrible wrap job i got in NYC. ?   this is the fix.  No wrap.  Full chrome delete.'
1195753671968952320x,2019-11-16 17:21:06,b'incredible campaign video for vp and president of Harvard\xe2\x80\x99s student government. \n\ncheck the threAd \xf0\x9f\x91\x87 they won!!! https://t.co/zFOfVsC0VD'
1195752385366200323x,2019-11-16 17:15:59,b'she\xe2\x80\x99s getting an extreme Hollywood makeover https://t.co/iXCHjuJUED'
1195747751079768064x,2019-11-16 16:57:34,"b'@CGrantWSJ I dont understand, does your tweet mean that I\xe2\x80\x99m a bot or that a bot wrote the tweet?  Because I\xe2\x80\x99m prett\xe2\x80\xa6 https://t.co/dSbLUpYUzk'"
1195486446791979009x,2019-11-15 23:39:14,b'she\xe2\x80\x99s a pretty great tiktoker (is that a word?) https://t.co/Pm3Xg3qPRF'
1195486057501822977x,2019-11-15 23:37:41,b'She titled this #momlife https://t.co/zURDgviCxc'
1195483872613371904x,2019-11-15 23:29:00,b'met one of my favorite YouTubers today.  If you don\xe2\x80\x99t know @tomscott you should have a peak at his super smart vide\xe2\x80\xa6 https://t.co/gPEfeqEdT9'
1195432162306056194x,2019-11-15 20:03:32,b'https://t.co/H5hLClkGxa'
1195432085814562816x,2019-11-15 20:03:13,b'they girls got style.  so much style. https://t.co/6PAWaNhAgB'
1195419361453854721x,2019-11-15 19:12:40,b'RT @elonmusk: Innovation comes in many ways https://t.co/3plylbd1eZ'
1195419253098217473x,2019-11-15 19:12:14,b'@mitchmerry https://t.co/jShI6147jH'
1195418777069842432x,2019-11-15 19:10:20,b'also appreciate their poster design https://t.co/LCaI1YyDYt'
1195418685680177152x,2019-11-15 19:09:59,b'always looking for family activities here in LA.  this one seems particularly fun.  TENDER FEST (as in an entire fe\xe2\x80\xa6 https://t.co/nBoN2jqgjP'
1195399394838728704x,2019-11-15 17:53:19,b'\xf0\x9f\x9a\xa8 https://t.co/hTRX52jLb8'
1195398497970708480x,2019-11-15 17:49:46,b'@MatthewCisler \xf0\x9f\x91\x8d https://t.co/7KveGEhEnw'
1195397575089647616x,2019-11-15 17:46:05,"b'having @Tesla Energy survey my house.  asked the guy if he need a ladder to see the roof, he whipped out the most b\xe2\x80\xa6 https://t.co/GQbur4F69o'"
1195019801963331584x,2019-11-14 16:44:57,b'she sent me this text at 1am. https://t.co/XlXc7fdgEj'
1194689359229808640x,2019-11-13 18:51:54,b'soo i went skateboarding and travel shopping with @TiffanyHaddish @target the skateboarding didnt go super well ; )\xe2\x80\xa6 https://t.co/01ZSVzzPh6'
1194299703715741696x,2019-11-12 17:03:33,b'https://t.co/ocNlhGcOh1'
1194298209998274560x,2019-11-12 16:57:36,b'while I was sleeping information was sent through the air to my car which made my very fast car even faster. https://t.co/kV17U8nD3y'
1194065796307144706x,2019-11-12 01:34:05,b'@mcwm We got surfing!  You need a board?  How about a bike?  You need a Tesla?  I GOT UOU MIKE'
1194062869534400512x,2019-11-12 01:22:27,b'@mcwm Come to Venice!'
1194062327303196672x,2019-11-12 01:20:18,b'interesting https://t.co/KvYEeE5l0N'
1193757852663312384x,2019-11-11 05:10:25,b'RT @DavidDobrik: I WON A PEOPLES CHOICE AWARD AND this is crazy. I mean like seriously. You guys have showed my friends and I so much love\xe2\x80\xa6'
1193605947395936256x,2019-11-10 19:06:48,b'neighbors kid is super chill \xf0\x9f\x98\x8e https://t.co/6f4eiAZOJr'
1193596620757065728x,2019-11-10 18:29:44,b'already lost my airpod pros.'
1193584051321368576x,2019-11-10 17:39:48,b'all the money from this auction supports injured vets.  this item is pretty special\xe2\x8c\x9a\xef\xb8\x8f https://t.co/9tqTvj8NfC'
1193379776536309761x,2019-11-10 04:08:05,b'My wife ladies and gentlemen https://t.co/l4qpEleHLp'
1193321249155366915x,2019-11-10 00:15:31,b'every argument I have w @candicepool sounds just like this. https://t.co/ishvWLwSeO'
1193305698223869952x,2019-11-09 23:13:43,b'RT @Jessewelle: It was all my fault\xf0\x9f\x98\xac https://t.co/C3hQvPI6mR'
1193305663629217792x,2019-11-09 23:13:35,"b""RT @CarlMullan: Anyone else: But I can't make a video about breaking my collar bone without any footage of it...\n\n@Casey: Hold my beer http\xe2\x80\xa6"""
1193305402198245376x,2019-11-09 23:12:33,b'@riceschi ALWAYS \n\ncc @candicepool'
1193305324179951616x,2019-11-09 23:12:14,b'RT @Liron_Segev: If your notification failed like mine: you have to watch how @Casey hitchhiked a plane ride to hang with @Jessewelle only\xe2\x80\xa6'
1193294803401723904x,2019-11-09 22:30:26,"b""so here's a thorough explanation of how I  broke my collar bone into 3 pieces -- https://t.co/3jPJiaJ29R https://t.co/5MJ0jZnTV5"""
1192829640034799616x,2019-11-08 15:42:02,"b'hey @candicepool you\xe2\x80\x99re not supposed to put this in the washing machine, you can just wipe it down if it gets dirty https://t.co/fyaCGTtpi4'"
1192668048760569856x,2019-11-08 04:59:56,b'@tyleroakley @NevSchulman \xe2\x9d\xa4\xef\xb8\x8f u 2'
1192667488774868993x,2019-11-08 04:57:42,b'\xf0\x9f\xa4\x94 https://t.co/OCEspn5dE4'
1192629463994912769x,2019-11-08 02:26:36,b'omg.  look at this good boy https://t.co/vrDTvlwwKV'
1192480075955916802x,2019-11-07 16:32:59,b'every.  single.  day.'
1192479945815019520x,2019-11-07 16:32:28,"b""Candice; 'should we have another baby'\nme; https://t.co/1vDVLKfVrv"""
1192458575148285952x,2019-11-07 15:07:33,b'\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/Xg82Cx6Xjm'
1192078144993472512x,2019-11-06 13:55:52,b'Instagram marketing knows me so well. https://t.co/BW6LGM4Fa3'
1191792195914915843x,2019-11-05 18:59:36,b'It\xe2\x80\x99s a rental.  It\xe2\x80\x99s a friends rental.'
1191789173264584705x,2019-11-05 18:47:35,"b'Dear stranger from Kazakhstan, thank you for the chocolate bar. https://t.co/ri5FdgHAg4'"
1191653377106726912x,2019-11-05 09:47:59,b'@candicepool Is this a dating app?   Why are you on a dating app?'
1191555339822551040x,2019-11-05 03:18:25,b'@Matt2Harrington ask @petermckinnon'
1191369714649272321x,2019-11-04 15:00:49,b'@Captaintiti29 Pro!'
1191359626157027328x,2019-11-04 14:20:43,b'@jackycoyne CHAMPION'
1191074655706107904x,2019-11-03 19:28:21,"b'@ryansinacakici *210,336 people care https://t.co/RBsXcqSc1G'"
1191074106101207040x,2019-11-03 19:26:10,"b'RT @JonErlichman: On this day in 2008: Tesla secures $40 million loan to avoid bankruptcy\n\nToday, its $56 billion market cap makes Tesla th\xe2\x80\xa6'"
1191074026594000896x,2019-11-03 19:25:51,b'Good to see to see you last night @theleviallen hope you\xe2\x80\x99re feeling better after that mishap with the bike \xf0\x9f\x92\xa5 -\xe2\x80\xa6 https://t.co/v5696tPrha'
1191046930215780352x,2019-11-03 17:38:11,b'@andymilonakis love it here.  you ever come west anymore'
1191039787924250631x,2019-11-03 17:09:48,b'Im doing it https://t.co/tDK1MVH0SI'
1190908745074692096x,2019-11-03 08:29:05,b'RT @candicepool: This is true. https://t.co/ASrHI6cQfn'
1190818963749343232x,2019-11-03 02:32:19,b'@ItsBobbyMares Congrats.  \xf0\x9f\x8d\xbe'
1190802316695179264x,2019-11-03 01:26:10,b'@kj_brent For the price an easy win'
1190747612510449665x,2019-11-02 21:48:48,b'@HarmeetGabha Yes'
1190737857901559809x,2019-11-02 21:10:02,b'if you love really ugly fingernails you\xe2\x80\x99re gonna love this video. https://t.co/GLymOJBnUg'
1190720122048040961x,2019-11-02 19:59:34,"b'@tonyj154 302,495 people https://t.co/ts6trIQGW2'"
1190705897229541376x,2019-11-02 19:03:02,b'Thinking of you @Dannmace https://t.co/biWRYKsixc'
1190672800861708288x,2019-11-02 16:51:32,"b""@PTPetra all washed out yes.  can't expect the same dynamic range from a $400 device that a $1800 device yields.  I\xe2\x80\xa6 https://t.co/fnho3fMKmC"""
